word,meaning
sincere,adj.真诚的，真挚的
mood,n.心情；情绪；语气
static,adj.静的，静态的；静态的，停滞的 n.静电
senator,n.参议员
hobby,n.业余爱好，癖好
lad,n.男孩，小伙子
equip,vt.装备，配备；(智力、体力上)使有准备
frown,vi.皱眉
fasten,vt.扎牢，扣住
software,n.软件
stir,v.动，波动；使微动；激动；(某种感情)产生 n.搅拌，搅动；激动，骚乱
distribution,n. 分发，分配；分布
flexible,adj.易弯曲的；灵活的
solution,n.解决；解决办法；溶液
panel,n.专门小组；面，板；控制板，仪表盘
ministry,n.(政府的)部
supreme,adj.最高的，最大的；极度的；最重要的
describe,vt.形容，描写；画出(图形等)
limb,n.枝，臂，腿；树枝
circumstance,n.情况，条件，境遇
core,n.果核；核心，要点
assistant,n.助手，助理，助教 adj.助理的，副的
mess,n.凌乱状态，脏乱状态；混乱的局面，困境 vt.弄糟，弄脏，搞乱
minus,n.负数；减号 adj.负的 prep.减去
statistic,n.统计数值，统计资料；统计学
pregnant,adj. 怀孕的
sector,n.部门，部分；防御地段，防区；扇形
detection,n.察觉，发觉；侦查，侦探，探测
statue,n.雕塑
bride,n.新娘
cycle,n.骑自行车；循环 v.骑自行车
skillful,adj.灵巧的，娴熟的
civilization,n.文明，文化，开化
overhead,adj.在头顶的，架空的 n.经营费用，管理费用 adv.在头顶上
clash,vi.发生冲突；不协调；砰地相撞；发出刺耳的撞击声 n.冲突；不协调；刺耳的撞击声
grant,n.授给物 vt.以授予，给予
bond,n. 联结，联系；公债；契约，合同 vt.(使)黏合，(使)结合
staff,n. 工作人员；参谋 vt.为…配备人员
intermediate,adj.中间的；中级的
guitar,n.吉他，六弦琴
comprehensive,adj.广泛的；综合的；理解的
presence,n.出席，到场；存在；仪表，仪态
appliance,n.用具，器具，器械
cushion,n.垫子，坐垫，靠垫
emergency,n.紧急情况，突然事件
solve,v. 解答，解释，解决
label,n.标签，标记，符号 vt. 贴标签于；把…称为
slim,adj.苗条的；薄的；(机会)少的 v.(用运动、节食等)减轻体重，变苗条
status,n.地位，身份；情形，状况
steady,adj. 稳的，平稳的；稳定的，持续的；稳固的 v.(使)稳定
include,v. 包括，包含
resistance,n.反抗，抵制；抵抗力；抵抗性；阻力；电阻
prime,adj.首要的；最好的 n.青春；全盛时期 vt. 使准备好
ambassador,n.大使，使节，派驻国际组织的代表
derive,v.取得；起源
sponsor,n.发起者；赞助者，赞助商 vt.发起；资助，赞助；支持
proportion,n.比例；部分，份儿；均衡；相称
mental,adj.心理的，精神的，思想上的；(治疗)精神病的；智力的
punch,vt.猛击；穿孔 n.猛击；冲床；穿孔机；力量，效力
result,n.成果；比分 v.发生，结果
client,n.委托人，当事人； 顾客
steamer,n.轮船，汽船
option,n.选择，选择权，选择自由；(供)选择的事物(或人)；选课
dormitory,n.集体寝室，宿舍
attitude,n.态度，看法；姿势
steep,adj.险峻的，陡峭的；(价格等)过高的:急剧的(上升或下降)
agency,n.经办，代理，代理处；(政府等的)专门行政部门
steer,v.为…操舵；引导；驾驶
scandal,n.丑事，丑闻；流言蜚语；反感，愤慨
definite,adj.明确的，肯定的
cautious,adj.十分小心的，谨慎的
prayer,n.祷告，祈祷；祷文；祈求，祈望
nest,n.巢，窝，穴；v.筑巢
dometic,adj.本国的；家庭的；驯养的
chest,n.胸腔，胸膛；箱子
airline,n.航空公司；航线
rebel,n.反叛分子，反对者 vi.反叛，造反；反对，不服从
satisfactory,adj.令人满意的
stem,n.茎，树干；词干 v.起源；堵住，止住，停住
render,vt.使得，致使；给予，提供；翻译
object,n.实物，物体；目的，目标；对象，客体；宾语 vi.反对，不赞成
gardener,n.园丁，花匠
shrink,v.起皱；缩小；退缩，畏缩
parade,n.游行，检阅 v.游行，列队前进
rumour,n.谣言
rug,n.小地毯
establish,vt.建立，设立；确立；证实
primarily,adv.首先；主要地
kindness,n.仁慈，好意
breast,n.乳房，胸脯；胸膛
sticky,adj.黏性的；湿热的；难办的，棘手的
boost,vt.提高，增加；推动，激励；替……做广告，宣扬 n.提高，增加；推动，激励
fund,n.资金，基金；存款 vt.为……提供资金
incredible,adj.不能相信的，不可信的；难以置信的，不可思议的
aboard,adv.到(在)国外；在传播，在流传
detective,n.侦探，私人侦探
stiff,adj.硬的，僵直的；不灵活的；拘谨的，生硬的；费劲的；强劲的 adv.极其，非常；僵硬地
stimulate,vt.刺激，激励，激发
fame,n.名声，名望
consume,vt.消费；吃完，喝光；毁灭；使入迷
accelerate,vt.使加快
lightning,n.闪电
sting,n./v.刺，蜇；刺痛，使痛苦；激怒
bound,adj.一定的；有义务的 v.跳跃；弹回，反跃；成为……的界限，给……划界；限制 n.跳跃；界限，限制
rouse,vt.惊起，唤醒
cultivate,v.耕种；培养；陶冶；发展
material,n.材料，素材 adj.物质的，实体的；肉体的；重要的，实质性的
personnel,n.人员，员工
display,vt.陈列，展览；显示
particle,n.粒子，微粒；语气词
frog,n.蛙
impression,n.印记，印象
biology,n.生物学，生态学
drunk,adj.醉的
barrier,n.栅栏；检票口；屏障；障碍
stock,n.原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 adj.常用的，常备的
fisherman,n.渔民，渔夫
